"Story","Title","Result","Date","Stability","Duration (s)"
"Product CURD test","This will create new product","SUCCESS","2023-01-10T21:48:23.174Z[Europe/London]","0.0","1.1"
"Product CURD test","Verify if the product was added to application","SUCCESS","2023-01-10T21:48:24.273Z[Europe/London]","0.0","0.13"
"Product CURD test","This will update product","SUCCESS","2023-01-10T21:48:24.406Z[Europe/London]","0.0","0.13"
"Product CURD test","This will delete product","SUCCESS","2023-01-10T21:48:24.542Z[Europe/London]","0.0","0.13"
