"Story","Title","Result","Date","Stability","Duration (s)"
"Testing different request on store section of Bestbuy","Creating store data","ERROR","2023-01-09T21:48:34.727Z[Europe/London]","0.0","4.11"
"Testing different request on store section of Bestbuy","Verify store is created by getting Store info by given Id","ERROR","2023-01-09T21:48:38.889Z[Europe/London]","0.0","4.11"
"Testing different request on store section of Bestbuy","Updating newly added store detail","ERROR","2023-01-09T21:48:43.066Z[Europe/London]","0.0","4.13"
"Testing different request on store section of Bestbuy","Deleting store by given Id","ERROR","2023-01-09T21:48:47.235Z[Europe/London]","0.0","4.1"
"Testing different request on store section of Bestbuy","CURD TEST","ERROR","2023-01-09T21:48:51.382Z[Europe/London]","0.0","4.12"
