"Story","Title","Result","Date","Stability","Duration (s)"
"Store CURD test","This will create new store","SUCCESS","2023-01-10T21:48:22.215Z[Europe/London]","0.0","1.27"
"Store CURD test","Verify if the store has been added to application","SUCCESS","2023-01-10T21:48:23.493Z[Europe/London]","0.0","0.18"
"Store CURD test","This will update store information","SUCCESS","2023-01-10T21:48:23.673Z[Europe/London]","0.0","0.15"
"Store CURD test","This will delete Store","SUCCESS","2023-01-10T21:48:23.821Z[Europe/London]","0.0","0.14"
